{'tl': 'RSL', 'sn': True, 'k': 12, 'tllr': 0.001, 'method': 'CDAN+E', 'gpu': '0', 'num_iterations': 75000, 'test_interval': 500, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log_RSL_on_image-clef_vs_image-clef_with_True_12_0.001_CDAN+E.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 12}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'image-clef', 'data': {'source': {'list_path': 'data/image-clef/p_list.txt', 'batch_size': 36}, 'target': {'list_path': 'data/image-clef/i_list.txt', 'batch_size': 36}, 'test': {'list_path': 'data/image-clef/i_list.txt', 'batch_size': 4}}, 'num_loader': 12}iter: 00001, precision: 0.12333, a_distance: 0.16667, rsl: 1.85386, classifier_loss: 3.04113,  discriminator_loss: 0.69615,
iter: 00499, precision: 0.84833, a_distance: 0.44444, rsl: 1.56781, classifier_loss: 0.23119,  discriminator_loss: 0.64291,
iter: 00999, precision: 0.90000, a_distance: 1.00000, rsl: 1.28356, classifier_loss: 0.02513,  discriminator_loss: 0.62129,
iter: 01499, precision: 0.89667, a_distance: 0.38889, rsl: 1.19206, classifier_loss: 0.05613,  discriminator_loss: 0.66508,
iter: 01999, precision: 0.91333, a_distance: 0.44444, rsl: 1.11311, classifier_loss: 0.06592,  discriminator_loss: 0.67422,
iter: 02499, precision: 0.91167, a_distance: 0.50000, rsl: 0.97901, classifier_loss: 0.09479,  discriminator_loss: 0.67543,
iter: 02999, precision: 0.91833, a_distance: 0.05556, rsl: 1.03188, classifier_loss: 0.03136,  discriminator_loss: 0.68695,
iter: 03499, precision: 0.91500, a_distance: 0.72222, rsl: 0.75877, classifier_loss: 0.04201,  discriminator_loss: 0.68144,
iter: 03999, precision: 0.91500, a_distance: 0.50000, rsl: 0.88394, classifier_loss: 0.01241,  discriminator_loss: 0.71956,
iter: 04499, precision: 0.91333, a_distance: 0.22222, rsl: 0.77306, classifier_loss: 0.00229,  discriminator_loss: 0.69274,
iter: 04999, precision: 0.91833, a_distance: 0.22222, rsl: 0.76654, classifier_loss: 0.03340,  discriminator_loss: 0.68074,
iter: 05499, precision: 0.91333, a_distance: 0.05556, rsl: 0.80334, classifier_loss: 0.08080,  discriminator_loss: 0.68065,
iter: 05999, precision: 0.91333, a_distance: 0.16667, rsl: 0.59052, classifier_loss: 0.17970,  discriminator_loss: 0.67652,
iter: 06499, precision: 0.91500, a_distance: 0.05556, rsl: 0.75808, classifier_loss: 0.05481,  discriminator_loss: 0.69974,
iter: 06999, precision: 0.91333, a_distance: 0.05556, rsl: 0.58915, classifier_loss: 0.02034,  discriminator_loss: 0.68279,
iter: 07499, precision: 0.91500, a_distance: 0.16667, rsl: 0.57178, classifier_loss: 0.05670,  discriminator_loss: 0.70135,
iter: 07999, precision: 0.91333, a_distance: 0.38889, rsl: 0.63301, classifier_loss: 0.01793,  discriminator_loss: 0.67083,
iter: 08499, precision: 0.91667, a_distance: 0.00000, rsl: 0.56670, classifier_loss: 0.12721,  discriminator_loss: 0.67805,
iter: 08999, precision: 0.91333, a_distance: 0.00000, rsl: 0.56722, classifier_loss: 0.00250,  discriminator_loss: 0.68186,
iter: 09499, precision: 0.91333, a_distance: 0.22222, rsl: 0.59498, classifier_loss: 0.00743,  discriminator_loss: 0.67675,
iter: 09999, precision: 0.91333, a_distance: 0.38889, rsl: 0.49773, classifier_loss: 0.05664,  discriminator_loss: 0.68543,
iter: 10499, precision: 0.91333, a_distance: 0.05556, rsl: 0.56805, classifier_loss: 0.18591,  discriminator_loss: 0.68224,
iter: 10999, precision: 0.91333, a_distance: 0.05556, rsl: 0.51472, classifier_loss: 0.05488,  discriminator_loss: 0.68061,
iter: 11499, precision: 0.91333, a_distance: 0.16667, rsl: 0.59393, classifier_loss: 0.00638,  discriminator_loss: 0.69595,
iter: 11999, precision: 0.91333, a_distance: 0.00000, rsl: 0.48845, classifier_loss: 0.00036,  discriminator_loss: 0.68607,
iter: 12499, precision: 0.91333, a_distance: 0.44444, rsl: 0.51976, classifier_loss: 0.03491,  discriminator_loss: 0.68927,
iter: 12999, precision: 0.91333, a_distance: 0.33333, rsl: 0.47133, classifier_loss: 0.07653,  discriminator_loss: 0.68179,
iter: 13499, precision: 0.91333, a_distance: 0.05556, rsl: 0.51551, classifier_loss: 0.00791,  discriminator_loss: 0.69229,
