{'tl': 'RSL', 'sn': True, 'k': 8, 'tllr': 0.001, 'method': 'CDAN+E', 'gpu': '1', 'num_iterations': 75000, 'test_interval': 500, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log_RSL_on_office-home_vs_office-home_with_True_8_0.001_CDAN+E.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 65}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office-home', 'data': {'source': {'list_path': 'data/office-home/Art.txt', 'batch_size': 36}, 'target': {'list_path': 'data/office-home/Product.txt', 'batch_size': 36}, 'test': {'list_path': 'data/office-home/Product.txt', 'batch_size': 4}}, 'num_loader': 8}iter: 00001, precision: 0.01937, a_distance: 0.05556, rsl: 1.35581, classifier_loss: 4.74768,  discriminator_loss: 0.69231,
iter: 00499, precision: 0.65533, a_distance: 0.88889, rsl: 2.47467, classifier_loss: 0.49402,  discriminator_loss: 0.54777,
iter: 00999, precision: 0.66975, a_distance: 1.38889, rsl: 2.22414, classifier_loss: 0.33728,  discriminator_loss: 0.43444,
iter: 01499, precision: 0.69633, a_distance: 0.94444, rsl: 2.68536, classifier_loss: 0.16856,  discriminator_loss: 0.48965,
iter: 01999, precision: 0.70038, a_distance: 1.05556, rsl: 2.46519, classifier_loss: 0.10773,  discriminator_loss: 0.57321,
iter: 02499, precision: 0.70624, a_distance: 1.00000, rsl: 2.02384, classifier_loss: 0.41376,  discriminator_loss: 0.53066,
iter: 02999, precision: 0.70894, a_distance: 1.16667, rsl: 2.15656, classifier_loss: 0.23816,  discriminator_loss: 0.53936,
iter: 03499, precision: 0.71660, a_distance: 1.22222, rsl: 1.98564, classifier_loss: 0.20874,  discriminator_loss: 0.55826,
iter: 03999, precision: 0.71615, a_distance: 0.66667, rsl: 1.56453, classifier_loss: 0.16734,  discriminator_loss: 0.60017,
iter: 04499, precision: 0.72651, a_distance: 0.55556, rsl: 2.32075, classifier_loss: 0.29855,  discriminator_loss: 0.60208,
iter: 04999, precision: 0.72269, a_distance: 1.11111, rsl: 1.75129, classifier_loss: 0.22450,  discriminator_loss: 0.61188,
iter: 05499, precision: 0.72832, a_distance: 0.50000, rsl: 1.69998, classifier_loss: 0.15098,  discriminator_loss: 0.64809,
iter: 05999, precision: 0.72494, a_distance: 0.50000, rsl: 1.77259, classifier_loss: 0.01070,  discriminator_loss: 0.66523,
iter: 06499, precision: 0.72561, a_distance: 0.77778, rsl: 1.89627, classifier_loss: 0.11538,  discriminator_loss: 0.59654,
iter: 06999, precision: 0.72967, a_distance: 0.83333, rsl: 1.87818, classifier_loss: 0.20357,  discriminator_loss: 0.58136,
iter: 07499, precision: 0.72246, a_distance: 0.83333, rsl: 1.87556, classifier_loss: 0.01401,  discriminator_loss: 0.60852,
iter: 07999, precision: 0.72697, a_distance: 1.33333, rsl: 1.75282, classifier_loss: 0.00792,  discriminator_loss: 0.60063,
iter: 08499, precision: 0.72561, a_distance: 0.77778, rsl: 1.67729, classifier_loss: 0.13982,  discriminator_loss: 0.59549,
iter: 08999, precision: 0.72809, a_distance: 0.50000, rsl: 2.07127, classifier_loss: 0.00441,  discriminator_loss: 0.64845,
iter: 09499, precision: 0.72719, a_distance: 1.22222, rsl: 1.44069, classifier_loss: 0.18596,  discriminator_loss: 0.57645,
iter: 09999, precision: 0.72809, a_distance: 0.66667, rsl: 1.62939, classifier_loss: 0.02493,  discriminator_loss: 0.59737,
iter: 10499, precision: 0.72674, a_distance: 0.83333, rsl: 2.21347, classifier_loss: 0.02688,  discriminator_loss: 0.61108,
iter: 10999, precision: 0.72674, a_distance: 0.88889, rsl: 1.77213, classifier_loss: 0.05833,  discriminator_loss: 0.61419,
iter: 11499, precision: 0.73170, a_distance: 1.11111, rsl: 1.60752, classifier_loss: 0.09920,  discriminator_loss: 0.57270,
iter: 11999, precision: 0.72944, a_distance: 0.77778, rsl: 1.61593, classifier_loss: 0.22048,  discriminator_loss: 0.62656,
iter: 12499, precision: 0.73102, a_distance: 1.16667, rsl: 1.73711, classifier_loss: 0.03056,  discriminator_loss: 0.57832,
iter: 12999, precision: 0.72967, a_distance: 0.94444, rsl: 1.56850, classifier_loss: 0.11164,  discriminator_loss: 0.60134,
iter: 13499, precision: 0.73237, a_distance: 1.11111, rsl: 1.77142, classifier_loss: 0.12861,  discriminator_loss: 0.60458,
iter: 13999, precision: 0.73192, a_distance: 0.72222, rsl: 1.29111, classifier_loss: 0.08341,  discriminator_loss: 0.61423,
iter: 14499, precision: 0.72606, a_distance: 0.61111, rsl: 1.29127, classifier_loss: 0.00644,  discriminator_loss: 0.62394,
iter: 14999, precision: 0.73192, a_distance: 0.83333, rsl: 1.40520, classifier_loss: 0.02475,  discriminator_loss: 0.59200,
iter: 15499, precision: 0.73462, a_distance: 1.00000, rsl: 1.08964, classifier_loss: 0.01583,  discriminator_loss: 0.59271,
iter: 15999, precision: 0.73237, a_distance: 0.55556, rsl: 1.39140, classifier_loss: 0.08791,  discriminator_loss: 0.63453,
iter: 16499, precision: 0.73327, a_distance: 0.61111, rsl: 1.07865, classifier_loss: 0.11534,  discriminator_loss: 0.59130,
iter: 16999, precision: 0.72967, a_distance: 1.11111, rsl: 1.18923, classifier_loss: 0.02097,  discriminator_loss: 0.60406,
iter: 17499, precision: 0.72832, a_distance: 0.61111, rsl: 1.30361, classifier_loss: 0.01083,  discriminator_loss: 0.64295,
iter: 17999, precision: 0.72877, a_distance: 0.83333, rsl: 1.28836, classifier_loss: 0.04373,  discriminator_loss: 0.60641,
iter: 18499, precision: 0.72877, a_distance: 0.44444, rsl: 1.10812, classifier_loss: 0.05836,  discriminator_loss: 0.61232,
iter: 18999, precision: 0.72719, a_distance: 0.55556, rsl: 1.25411, classifier_loss: 0.22125,  discriminator_loss: 0.64697,
iter: 19499, precision: 0.72742, a_distance: 0.83333, rsl: 0.81568, classifier_loss: 0.21776,  discriminator_loss: 0.61936,
iter: 19999, precision: 0.72899, a_distance: 0.55556, rsl: 1.18757, classifier_loss: 0.28150,  discriminator_loss: 0.64631,
iter: 20499, precision: 0.72719, a_distance: 0.83333, rsl: 1.25108, classifier_loss: 0.01132,  discriminator_loss: 0.61480,
iter: 20999, precision: 0.72967, a_distance: 0.83333, rsl: 1.55794, classifier_loss: 0.00631,  discriminator_loss: 0.59434,
iter: 21499, precision: 0.72697, a_distance: 0.61111, rsl: 1.11511, classifier_loss: 0.01187,  discriminator_loss: 0.59303,
iter: 21999, precision: 0.72697, a_distance: 0.88889, rsl: 1.53612, classifier_loss: 0.05057,  discriminator_loss: 0.61624,
